기관명,병합시스템명,시스템명,등급,DR유무,이중화유무,예산사업No,세부사업명,단위사업명,국회확정금액(천원),매칭방법,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널
한국기술교육대학교,한기대내부업무시스템,의사결정지원(IR)시스템,4,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,데이터/분석,교육기관,N,저,웹,내부,직업훈련·교육,데이터/분석,교육기관,N,저,웹
한국기술교육대학교,홈페이지,일학습병행 공동훈련센터 지원단 홈페이지,3,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,한기대LMS,일학습병행 기업전담인력 양성교육 LMS,4,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹,혼합,직업훈련·교육,교육/학습(LMS),교육기관,N,저,웹
한국기술교육대학교,홈페이지,일학습병행 전담인력 학습지원 홈페이지,3,Y,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,홈페이지,일학습병행대학 홈페이지,3,Y,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,대국민,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,전자결재,3,Y,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,행정지원,업무처리시스템,교육기관,N,저,웹,내부,행정지원,업무처리시스템,교육기관,N,저,웹
한국기술교육대학교,한기대학사행정시스템,종합정보시스템(학사행정),3,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,업무처리시스템,교육기관,N,중,웹,내부,직업훈련·교육,업무처리시스템,교육기관,N,중,웹
한국기술교육대학교,홈페이지,직업능력심사평가원 통합홈페이지 시스템,3,N,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,교육기관,N,저,웹
한국기술교육대학교,한기대내부업무시스템,측위 시스템,미부여,N,N,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,내부인프라,교육기관,N,저,웹,내부,직업훈련·교육,내부인프라,교육기관,N,저,웹
한국기술교육대학교,홈페이지,코리아텍,3,Y,Y,261,한국기술교육대학교운영지원,한국기술교육대학교출연,"41,966,000",기관매핑,내부,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹,내부,직업훈련·교육,홈페이지/포털,교육기관,N,저,웹
